iter	MultiClass
143	0.2423152146
144	0.2416510787
145	0.2409541598
146	0.2400004215
147	0.2394789594
148	0.2382257853
149	0.2363517783
150	0.2356789651
151	0.2348836638
152	0.2336301212
153	0.2330039445
154	0.2323403447
155	0.231030349
156	0.2282482519
157	0.2265401868
158	0.2259692571
159	0.2248921596
160	0.2244882103
161	0.2238133869
162	0.2220425533
163	0.2206454156
164	0.2200015659
165	0.2182270973
166	0.2175093394
167	0.2171935038
168	0.2160270362
169	0.2146791315
170	0.2135963552
171	0.2130239346
172	0.212103599
173	0.2116156905
174	0.2103961035
175	0.2092219636
176	0.2088074776
177	0.2076922701
178	0.2071522304
179	0.2060667571
180	0.2054335112
181	0.2042972134
182	0.2035393688
183	0.2024243455
184	0.2013594432
185	0.2004121877
186	0.199345359
187	0.1992167398
188	0.1987809959
189	0.1970420072
190	0.1964233186
191	0.1954434476
192	0.1952730834
193	0.1946133699
194	0.1943947107
195	0.1939407075
196	0.1927649595
197	0.1924924437
198	0.1919778665
199	0.191630253
200	0.190700034
201	0.1896979001
202	0.1882564542
203	0.1878870636
204	0.187004503
205	0.1863035972
206	0.185890133
207	0.1852791669
208	0.1849537829
209	0.1847420755
210	0.1837065221
211	0.1832976814
212	0.1830030869
213	0.1825298528
214	0.181401847
215	0.1812386357
216	0.1810079152
217	0.1802435542
218	0.1791726883
219	0.1786624163
220	0.1779644421
221	0.1776358083
222	0.1770274052
223	0.1766010589
224	0.1756812762
225	0.1752862723
226	0.1748287177
227	0.174021171
228	0.1734626543
229	0.172715581
230	0.1725057833
231	0.171595281
232	0.1709569929
233	0.1701494964
234	0.1700558044
235	0.1690190951
236	0.1687390411
237	0.1685947759
238	0.1683068485
239	0.1675780848
240	0.1673357889
241	0.1668012271
242	0.1656652308
243	0.1649734379
244	0.1642760835
245	0.1641251344
246	0.1634299075
247	0.1628854956
248	0.1624911618
249	0.1616968656
250	0.1612457102
251	0.1604302902
252	0.1602038414
253	0.1596584245
254	0.159445578
255	0.1592650623
256	0.159115269
257	0.1589216535
258	0.1586796927
259	0.1581634571
260	0.157557751
261	0.1571959489
262	0.1570660398
263	0.1564575194
264	0.1556400892
265	0.1548671514
266	0.1547244608
267	0.1542312588
268	0.1540390169
269	0.1539578384
270	0.153925759
271	0.153491841
272	0.1529352005
273	0.152854223
274	0.1523061425
275	0.1520051824
276	0.1517457999
277	0.1510728694
278	0.1510345416
279	0.1504450846
280	0.1501755171
281	0.1496074519
282	0.149471194
283	0.1492935595
284	0.1488110115
285	0.1483526194
286	0.1477323058
287	0.1475478534
288	0.1471265495
289	0.1468666309
290	0.1467153802
291	0.146553308
292	0.1464075854
293	0.1458110592
294	0.1454132746
295	0.1450985613
296	0.1446502035
297	0.1440470436
298	0.143606358
299	0.1429817392
300	0.1428286627
301	0.142631613
302	0.1421239878
303	0.1420662951
304	0.1414846946
305	0.1413948723
306	0.1411497287
307	0.1410417643
308	0.140704185
309	0.1404318954
310	0.1400685772
311	0.1397041619
312	0.1395318209
313	0.1390991091
314	0.1390382587
315	0.1388463183
316	0.1385585417
317	0.1385114445
318	0.1381695182
319	0.1380489984
320	0.1377758544
321	0.1374132985
322	0.1371434378
323	0.1365174622
324	0.1362216364
325	0.1361763232
326	0.1357274125
327	0.135530187
328	0.1354665559
329	0.1353210845
330	0.1352478966
331	0.1351932862
332	0.1346426763
333	0.1344944744
334	0.1343139419
335	0.133834292
336	0.1336514812
337	0.1332335108
338	0.132977822
339	0.1329347619
340	0.1326796175
341	0.1326322774
342	0.1322901417
343	0.1320260017
344	0.1319032624
345	0.1314387727
346	0.1313179179
347	0.1309677498
348	0.1308696605
349	0.1307011054
350	0.1305464458
351	0.1303498987
352	0.1302563743
353	0.1298573416
354	0.1296589853
355	0.1293670879
356	0.1290189048
357	0.1286795751
358	0.1285888733
359	0.1282418126
360	0.1281848737
361	0.1277407121
362	0.1275746028
363	0.1274198427
364	0.1270428133
365	0.126913968
366	0.1267809432
367	0.1267203022
368	0.1265826455
369	0.1264701833
370	0.1261815524
371	0.1260635371
372	0.1256156147
373	0.1252854397
374	0.125177333
375	0.1250661941
376	0.1250463016
377	0.1248360097
378	0.1245825489
379	0.1243276307
380	0.1240405242
381	0.1238318991
382	0.1235246404
383	0.1232411522
384	0.1231949931
385	0.1230990061
386	0.122767022
387	0.1226276147
388	0.1225564454
389	0.1223574776
390	0.1221357109
391	0.1218453797
392	0.121453634
393	0.1212268921
394	0.1211870483
395	0.1207425684
396	0.1201925029
397	0.1200908455
398	0.1197048122
399	0.1195483518
400	0.1194656656
401	0.119280384
402	0.1191238734
403	0.1190286319
404	0.118879383
405	0.118697301
406	0.1186543246
407	0.1183037294
408	0.118172698
409	0.1178793347
410	0.117519392
411	0.1174891469
412	0.1174323086
413	0.1173842146
414	0.1171919811
415	0.1168612533
416	0.1167250037
417	0.1166142251
418	0.1164009933
419	0.1161455642
420	0.1160791439
421	0.1156988396
422	0.1153428419
423	0.1151328516
424	0.1148091595
425	0.1146788903
426	0.1145773837
427	0.1145065829
428	0.1142775041
429	0.1140384915
430	0.1139820636
431	0.1139344638
432	0.1134906037
433	0.1131762255
434	0.1131727579
435	0.1128492836
436	0.1127796219
437	0.1127627613
438	0.1127309667
439	0.1127158232
440	0.1124403591
441	0.1123842243
442	0.1123466253
443	0.1122723819
444	0.1122697771
445	0.1120166345
446	0.111803185
447	0.1115942919
448	0.1115862679
449	0.1114198068
450	0.1113853821
451	0.1111300786
452	0.1110816077
453	0.1107773057
454	0.1106577659
455	0.1105243306
456	0.1104544092
457	0.1103215854
458	0.1100561974
459	0.109989819
460	0.1099776071
461	0.1098715608
462	0.1098152082
463	0.1095445267
464	0.1093938456
465	0.109347343
466	0.1093307673
467	0.1092082457
468	0.109050286
469	0.1089859346
470	0.1089336359
471	0.108886547
472	0.1086447286
473	0.10847253
474	0.1082763934
475	0.1080192472
476	0.1079177406
477	0.1076346879
478	0.1076077094
479	0.1075738627
480	0.1075126941
481	0.1071816899
482	0.1071482954
483	0.1071001345
484	0.107042492
485	0.1068874136
486	0.1067659139
487	0.1067405854
488	0.1065920234
489	0.1064319531
490	0.1063357065
491	0.1060039484
492	0.1059806804
493	0.1059460129
494	0.1058889316
495	0.105667902
496	0.1056078641
497	0.1055349525
498	0.1053570416
499	0.1052634753
500	0.1050941831
501	0.1049891168
502	0.1048985741
503	0.1047125219
504	0.1045814989
505	0.1044932931
506	0.1043748673
507	0.1043370924
508	0.1041618952
509	0.1038753499
510	0.103762159
511	0.1036695727
512	0.1034951629
513	0.1032963375
514	0.1030950246
515	0.102969538
516	0.1027817771
517	0.1025636372
518	0.1024609579
519	0.1024206535
520	0.1023662357
521	0.1021709869
522	0.1020258087
523	0.101955368
524	0.1018101396
525	0.1016481261
526	0.101603039
527	0.1015470717
528	0.1014904679
529	0.1013102956
530	0.1012338075
531	0.1010331144
532	0.1008143127
533	0.1007367777
534	0.1007148414
535	0.1004721268
536	0.1003927324
537	0.1003809643
538	0.1001734868
539	0.1000714776
540	0.1000068749
541	0.09993931548
542	0.09978502441
543	0.09978302259
544	0.09967706004
545	0.09948057157
546	0.09938469351
547	0.09915667844
548	0.09902152614
549	0.09901957457
550	0.09895993032
551	0.09884575946
552	0.09881651946
553	0.09875132204
554	0.09870736571
555	0.09865285585
556	0.09858345377
557	0.09849707389
558	0.09840223443
559	0.09823421539
560	0.09818525032
561	0.09813718146
562	0.09802710638
563	0.09801156922
564	0.09796818245
565	0.09785882769
566	0.09781829708
567	0.09778794309
568	0.09753517746
569	0.09748870838
570	0.0974639997
571	0.09739797308
572	0.0973085444
573	0.09726337358
574	0.09724943621
575	0.09714917759
576	0.09709846197
577	0.09701085922
578	0.09696772373
579	0.09690393345
580	0.0968810842
581	0.09664721443
582	0.0965646623
583	0.09652733963
584	0.0965038957
585	0.09633420149
586	0.09628917306
587	0.09615840131
588	0.09613965622
589	0.09613086998
590	0.09605685282
591	0.09585094155
592	0.09581030205
593	0.09559488422
594	0.09553932738
595	0.09548154256
596	0.0954717596
597	0.09544202542
598	0.09541883277
599	0.09539797696
600	0.09536918926
601	0.09528013749
602	0.09525739713
603	0.09525166806
604	0.09522963127
605	0.09506991267
606	0.09497254371
607	0.09484594313
608	0.09479026064
609	0.09459247393
610	0.09444469088
611	0.09435605791
612	0.09429767841
613	0.09425460992
614	0.09416851482
615	0.09412363715
616	0.09400645099
617	0.09399409665
618	0.09390111662
619	0.0937820124
620	0.09376342645
621	0.09370162961
622	0.09367826944
623	0.09366185282
624	0.09355742304
625	0.09347842227
626	0.09346314476
627	0.0934483028
628	0.09337374959
629	0.09333516217
630	0.09325736751
631	0.09324231615
632	0.09320385437
633	0.0931683325
634	0.09311314419
635	0.09302276067
636	0.09299509532
637	0.09292208326
638	0.09290714079
639	0.0928821892
640	0.09284964913
641	0.09275511957
642	0.09259072727
643	0.09252373742
644	0.09251525271
645	0.09241197042
646	0.09239753887
647	0.09235209165
648	0.09231498675
649	0.09222167169
650	0.0921864346
651	0.09205153357
652	0.09194893809
653	0.09187576689
654	0.09182946533
655	0.09169569504
656	0.09167569357
657	0.09165997215
658	0.09160339346
659	0.09154461192
660	0.09148552885
661	0.09138619995
662	0.09137291589
663	0.09135891152
664	0.09127212122
665	0.09123649047
666	0.09118384003
667	0.09117783457
668	0.09116541322
669	0.09101043534
670	0.09095636102
671	0.09095124339
672	0.09087879251
673	0.09085700699
674	0.09064792966
675	0.0906034289
676	0.09046329298
677	0.0904561484
678	0.09034440653
679	0.09031900266
680	0.09024244762
681	0.09007506514
682	0.08996058438
683	0.08992553155
684	0.08989130793
685	0.0898249379
686	0.08977696955
687	0.08973971388
688	0.0896943588
689	0.08947243295
690	0.08940925411
691	0.08938566779
692	0.08933427373
693	0.08926775293
694	0.08926652168
695	0.08923328641
696	0.08921131662
697	0.08908854379
698	0.08906972331
699	0.08906017487
700	0.08893506518
701	0.08891420938
702	0.08889415765
703	0.08889315256
704	0.08878439248
705	0.08869658033
706	0.08859184902
707	0.08852020222
708	0.08845348878
709	0.08840242975
710	0.08836674036
711	0.08826747009
712	0.08820233968
713	0.08818007674
714	0.08808125876
715	0.08803039238
716	0.08798440073
717	0.08790906019
718	0.08789234204
719	0.08787522186
720	0.08785774989
721	0.08783237952
722	0.08773237217
723	0.0876480695
724	0.08755963755
725	0.08749523583
726	0.08741026309
727	0.08730623535
728	0.08729065632
729	0.08720469523
730	0.08716817664
731	0.08715444029
732	0.08713133976
733	0.0870484191
734	0.08704262303
735	0.08698788702
736	0.08682820192
737	0.08681035304
738	0.08679661669
739	0.08661882306
740	0.08659180265
741	0.08655818209
742	0.08654215914
743	0.08652660524
744	0.0865030943
745	0.0864678572
746	0.08645185938
747	0.08643649812
748	0.08641005564
749	0.08637113318
750	0.08635305815
751	0.08628607669
752	0.08624711235
753	0.08623595575
754	0.08622407883
755	0.08621546849
756	0.08619973031
757	0.08616523029
758	0.08606253431
759	0.08604899898
760	0.0860083846
761	0.08598210127
762	0.08595226658
763	0.08588108045
764	0.08585266127
765	0.08584713323
766	0.08583044859
767	0.08575185823
768	0.08572977118
769	0.08561307919
770	0.08556693677
771	0.08554873611
772	0.08550992254
773	0.0854998548
774	0.08549828014
775	0.08543944835
776	0.08539593594
777	0.08534958413
778	0.08531653313
779	0.08530170792
780	0.08527840637
781	0.08527072574
782	0.08526091765
783	0.0852583044
784	0.08513586659
785	0.08511278282
786	0.08503218226
787	0.08502930098
788	0.0849774965
789	0.08485137334
790	0.08480336311
791	0.08477504445
792	0.0846589974
793	0.08459636299
794	0.0845357639
795	0.08446399146
796	0.08445308614
797	0.08440794044
798	0.08440049433
799	0.0843584477
800	0.08431272407
801	0.08429297388
802	0.08428448917
803	0.08425802156
804	0.08421510384
805	0.08417750476
806	0.08407763981
807	0.084009804
808	0.08400193073
809	0.08398904033
810	0.08396163464
811	0.08389539024
812	0.08384138293
813	0.08378484611
814	0.08372588031
815	0.08366399971
816	0.08363712169
817	0.08360252116
818	0.08358627206
819	0.08352483539
820	0.08350884594
821	0.08345626252
822	0.08345109463
823	0.08340287501
824	0.08335772932
825	0.08334639683
826	0.08330129301
827	0.08322763601
828	0.08321065822
829	0.08319942624
830	0.08317362032
831	0.08316839381
832	0.08313283843
833	0.08308959405
834	0.08308162027
835	0.08304642505
836	0.08296569048
837	0.08295331101
838	0.08293897997
839	0.08291750436
840	0.0828937924
841	0.08288240128
842	0.08283535427
843	0.08281046132
844	0.08273668706
845	0.08267906977
846	0.08265686546
847	0.08261400636
848	0.08254899321
849	0.08252796989
850	0.08252539014
851	0.08250527141
852	0.082418523
853	0.08232148907
854	0.08218183057
855	0.08216435023
856	0.08210502426
857	0.08209264479
858	0.08203213784
859	0.08200744591
860	0.08197579367
861	0.08184929359
862	0.08183179649
863	0.08181355395
864	0.0817426861
865	0.08165719406
866	0.08163540016
867	0.08157625846
868	0.08154027592
869	0.08153181634
870	0.08152199987
871	0.08149342156
872	0.08147914078
873	0.08146831084
874	0.08142618044
875	0.08137074924
876	0.081369652
877	0.08131725284
878	0.08129729326
879	0.08126807
880	0.08125443416
881	0.08121182634
882	0.08111129132
883	0.08109798214
884	0.08108780551
885	0.08108015838
886	0.08106922793
887	0.08104272682
888	0.08101161063
889	0.0809540771
890	0.08094257709
891	0.08093601882
892	0.0809201215
893	0.08091120125
894	0.08084623836
895	0.08078074779
896	0.08069484533
897	0.08066211261
898	0.08064171748
899	0.0806125361
900	0.08059044905
901	0.08056764168
902	0.08053098908
903	0.08050880989
904	0.08037844019
905	0.0803391827
906	0.08033248204
907	0.08031158435
908	0.08026217537
909	0.08018015929
910	0.08010992801
911	0.08003550043
912	0.08002607763
913	0.08002096
914	0.07999568176
915	0.07997769886
916	0.0799620612
917	0.07989993771
918	0.07989509648
919	0.07987936669
920	0.07986666894
921	0.0798525808
922	0.07980523226
923	0.07979143728
924	0.07978852249
925	0.07969385893
926	0.07966461892
927	0.07964083996
928	0.07963617462
929	0.07961673433
930	0.07958874233
931	0.07955801981
932	0.07941315155
933	0.07938160819
934	0.07936127169
935	0.07934147962
936	0.07933842244
937	0.07932749199
938	0.07925535939
939	0.079231103
940	0.0792099708
941	0.07915414593
942	0.07909212295
943	0.07901615422
944	0.07898349688
945	0.07897496191
946	0.07897419971
947	0.07896378019
948	0.07895201215
949	0.07893454856
950	0.07887843054
951	0.07886750846
952	0.07883774078
953	0.07880466465
954	0.07874671232
955	0.07870986707
956	0.07865896718
957	0.07863616819
958	0.07861752361
959	0.07860925667
960	0.07858990851
961	0.07857206801
962	0.07855084367
963	0.07851948458
964	0.07850783381
965	0.07850206287
966	0.07848846053
967	0.07848330939
968	0.07846024237
969	0.07839897322
970	0.07837528639
971	0.0783210613
972	0.07826357802
973	0.07823578703
974	0.07818677171
975	0.07816336128
976	0.07803547919
977	0.07796938556
978	0.07792850316
979	0.07791138297
980	0.07790696054
981	0.0778969598
982	0.07785108541
983	0.0778374412
984	0.07781111598
985	0.07774699067
986	0.07768954089
987	0.07768131583
988	0.07765168216
989	0.07764338172
990	0.07763709985
991	0.07763353175
992	0.07761920071
993	0.07758178591
994	0.07757554592
995	0.07751081754
996	0.07749345446
997	0.07747238089
998	0.07746092276
999	0.07739668856
